PART,ORDER,INDICATOR1,INDICATOR2,INDICATOR3,SERIES_NAME_SHORT,MULTIPLIER,DIGITS
The setting,1,OA.TPBS.POP.PPL.NO,,,"Population, total (mln)",,1
The setting,2,OA.TPR.POP.PPL.NO,,,"Population, rural (mln)",,1
The setting,3,IG_6111_23161,,,Govt expenditure on ag (% total outlays),,1
The setting,4,area_harvested,,,Area harvested (mln ha),1000000,0
The setting,5,cropping_intensity_ratio,,,Cropping intensity ratio,,1
The setting,6,AQ.WAT.WATPCP.MC.NO,,,Water resources (1 000 m3/person/year),1000,0
The setting,7,AQ.WAT.EQIRR.HA.NO,,,Area equipped for irrigation (1 000 ha),1000,0
The setting,8,AQ.WAT.SHIRR.HA.SH,,,Area irrigated (% area equipped for irrigation),,1
The setting,9,SL.AGR.EMPL.ZS,,,Employment in agriculture (%),,1
The setting,10,ILO_female_emp_agri,,,"Employment in agriculture, female (%)",,1
The setting,11,RF.FERT.NI.TN.SH,,,"Fertilizers, Nitrogen (kg of nutrients per ha)",0.001,1
The setting,12,RF.FERT.PH.TN.SH,,,"Fertilizers, Phosphate (kg of nutrients per ha)",0.001,1
The setting,13,RF.FERT.PO.TN.SH,,,"Fertilizers, Potash (kg nutrients per ha)",0.001,1
The setting,14,GN_6808_72182,,,"Energy consump, power irrigation (TJ)",1000000,0
The setting,15,EA.PRD.AGRI.KD,,,Agr value added per worker (constant US$),,0
Hunger dimensions,16,FBS.PCS.PDES.KCD3D,,,Dietary energy supply (kcal/pc/day),,0
Hunger dimensions,17,FS.DA.ADESA.PCT3D,,,Average dietary energy supply adequacy (%),,0
Hunger dimensions,18,FBS.PCSS.CSR.PCT3D,,,"Dietary en supp, cereals/roots/tubers (%)",,0
Hunger dimensions,19,FS.OA.POU.PCT3D1,,,Prevalence of undernourishment (%),,1
Hunger dimensions,20,FS.OA.FIES.PS.PCT3D,,,Prevalence of severe food insecurity (%),,1
Hunger dimensions,21,NY.GDP.PCAP.PP.KD,,,"GDP per capita (US$, PPP)",,0
Hunger dimensions,22,FBS.IDR.CRLS.PCT3D,,,Cereal import dependency ratio (%),,1
Hunger dimensions,23,SH.STA.STNT.ZS,,,"Stunting, children under 5 (%)",,1
Hunger dimensions,24,SH.STA.WAST.ZS,,,"Wasting, children under 5 (%)",,1
Hunger dimensions,25,SH.H2O.SAFE.ZS,,,Improved water source (% pop),,1
Food supply,26,QV.NPV.FOOD.ID.NO,,,"Food Production Value, (2004-2006 mln I$)",1000000,0
Food supply,27,NV.AGR.TOTL.ZS,,,"Agriculture, value added (% GDP)",,0
Food supply,28,TP.EXVAL.FOOD.USD.NO,,,Food exports (mln US$) ,1000000,0
Food supply,29,TP.IMVAL.FOOD.USD.NO,,,Food imports (mln US$) ,1000000,0
Production indices (2004-06=100),30,QI.NPIN.FOOD.IN.NO,,,Net food,,0
Production indices (2004-06=100),31,QI.NPIN.CRPS.IN.NO,,,Net crops,,0
Production indices (2004-06=100),32,QI.NPIN.CRLS.IN.NO,,,Cereals,,0
Production indices (2004-06=100),33,prod_ind_Oilcrops.Primary,,,Vegetable oils,,0
Production indices (2004-06=100),34,prod_ind_Roots.and.Tubers.Total,,,Roots and tubers,,0
Production indices (2004-06=100),35,prod_ind_Vegetables.and.Fruit.Primary,,,Fruit and vegetables,,0
Production indices (2004-06=100),36,prod_ind_Sugar.raw,,,Sugar,,0
Production indices (2004-06=100),37,QI.NPIN.LVSTCK.IN.NO,,,Livestock,,0
Production indices (2004-06=100),38,prod_ind_Milk.Total,,,Milk,,0
Production indices (2004-06=100),39,prod_ind_Meat.indigenous.total,,,Meat,,0
Production indices (2004-06=100),40,production_quantity_index,,,Fish ,,0
Net trade (mln US\$),41,TP.NETVAL.CRLSPREP.USD.NO,,,Cereals,1000000,0
Net trade (mln US\$),42,TP.NETVAL.FV.USD.NO,,,Fruit and vegetables,1000000,0
Net trade (mln US\$),43,TP.NETVAL.MEATPREP.USD.NO,,,Meat,1000000,0
Net trade (mln US\$),44,TP.NETVAL.MILKEQ.USD.NO,,,Dairy products,1000000,0
Net trade (mln US\$),45,net_fish_trade,,,Fish,1000,0
Environment,46,RL.AREA.FOR.HA.SH,,,Forest area (%),,0
Environment,47,AQ.WAT.RFRWTOT.MC.SH,,,Renewable water res withdrawn (% of total),,0
Environment,48,ER.LND.PTLD.ZS,,,Terrestrial protect areas (% total land area) ,,0
Environment,49,RL.AREA.AGRORG.HA.SH,,,Organic area (% total agricultural area),,0
Environment,50,BP.TP.GP.TJ.NO,,,Biofuel production (thousand kt of oil eq.),1000,0
Environment,51,FO.WP.PQ.TN.NO,,,Wood pellet prod. (1 000 tonnes),1000,0
Environment,52,GHG.AFOLU.TOT.ECO2EQ.NO,,,"Net GHG emissions from AFOLU (CO2 eq, Mt)",1000,0
