PART,ORDER,INDICATOR1,INDICATOR2,INDICATOR3,SERIES_NAME_SHORT,MULTIPLIER,DIGITS
The setting,1,tot_pop_male_female,,,"Population, total (M/F, mln)",,0
The setting,2,rural_pop_gender_shares,,,"Population, rural (M/F, % total population)",,1
The setting,3,IG.AFFH.STOCGG.USD.SH,,,Govt expenditure on ag (% total outlays),,1
The setting,4,area_harvested,,,Area harvested (mln ha),1000000,0
The setting,5,cropping_intensity_ratio,,,Cropping intensity ratio (%),,1
The setting,6,AQ.WAT.WATPCP.MC.NO,,,Water resources (m3/person/year),1000,0
The setting,7,AQ.WAT.EQIRR.HA.NO,,,Area equipped for irrigation (1000 ha),1000,0
The setting,8,AQ.WAT.SHIRR.HA.SH,,,Area irrigated (%),,1
The setting,9,agr_employment_male_female,,,"Employment in agriculture (M/F, %)",,1
The setting,10,nitrogen_tonnes_per_ha,,,"Fertilizers, Nitrogen (nutrients kg per ha)",0.001,1
The setting,11,phosphate_tonnes_per_ha,,,"Fertilizers, Phosphate (nutrients kg per ha)",0.001,1
The setting,12,potash_tonnes_per_ha,,,"Fertilizers, Potash (nutrients kg per ha)",0.001,1
The setting,13,energy.for.power.irrigation,,,"Energy consump, power irrigation (mln kWh)",1000000,0
The setting,14,EA.PRD.AGRI.KD,,,Agr value added per worker (constant US$),1000,1
The setting,15,NY.GDP.PCAP.PP.KD,,,"GDP per capita (US$, PPP)",,0
Hunger and dietary quality dimensions,16,FBS.PCS.PDES.KCD3D,,,Dietary energy supply (kcal/pc/day),,0
Hunger and dietary quality dimensions,17,FS.DA.ADESA.PCT3D,,,Average dietary energy supply adequacy (%),,1
Hunger and dietary quality dimensions,18,FBS.PCSS.CSR.PCT3D,,,"Dietary en supp, cereals/roots/tubers (%)",,1
Hunger and dietary quality dimensions,19,FBS.PPCS.AO.GCD3D,,,Average protein supply of animal origin (g/capita/day),,0
Hunger and dietary quality dimensions,20,FS.OA.SFEP.PCT,,,Share of food expenditure (%),,1
Hunger and dietary quality dimensions,21,FS.OA.POU.PCT3D1,,,Prevalence of undernourishment (%),,1
Hunger and dietary quality dimensions,22,FS.DEA.DFPLIV.IND,,,Domestic food price volatility (index),,0
Hunger and dietary quality dimensions,23,SH.STA.MALN.ZS,,,"Underweight, children under-5 (%)",,1
Hunger and dietary quality dimensions,24,SH.STA.STNT.ZS,,,"Stunting, children under 5 (%)",,1
Hunger and dietary quality dimensions,25,SH.STA.WAST.ZS,,,"Wasting, children under 5 (%)",,1
Hunger and dietary quality dimensions,26,SH.STA.OWGH.ZS,,,"Overweight, children under 5 (%)",,1
Hunger and dietary quality dimensions,28,overweight,,,"Overweight, adults (M/F, %)",,1
Hunger and dietary quality dimensions,29,obesity,,,"Obesity, adults (M/F, %)",,1
Hunger and dietary quality dimensions,31,FS.OU.VAD.PCT,,,"Vitamin A deficiency, total pop. (%)",,1
Hunger and dietary quality dimensions,32,SH.ANM.CHLD.ZS,,,"Anemia, children under 5 (%)",,1
Hunger and dietary quality dimensions,33,SH.PRG.ANEM,,,"Anemia, women in reproductive age (%)",,1
Hunger and dietary quality dimensions,35,FS.OU.IODINE.PCT,,,"Iodine deficiency, children aged 6 to 12 (%)",,1
Hunger and dietary quality dimensions,36,SH.XPD.TOTL.ZS,,,"Health expenditure, total (% of GDP)",,1
Hunger and dietary quality dimensions,37,SH.XPD.PCAP,,,"Health expenditure per capita, PPP ($)",,0
Hunger and dietary quality dimensions,38,SH.H2O.SAFE.ZS,,,Improved water source (% pop),,1
Food Supply,39,QV.NPV.FOOD.ID.NO,,,"Food production value, (2004-2006 mln I$)",1000000,0
Food Supply,40,NV.AGR.TOTL.ZS,,,"Agriculture, value added (% GDP)",,1
Production indices (2004-06=100),41,QI.NPIN.FOOD.IN.NO,,,Net food,,0
Production indices (2004-06=100),42,QI.NPIN.CRPS.IN.NO,,,Net crop,,0
Production indices (2004-06=100),43,QI.NPIN.CRLS.IN.NO,,,Cereal,,0
Food Supply,44,FBS.IDR.CRLS.PCT3D,,,Cereal import dependency ratio (%),,1
Food Supply,45,TP.EXVAL.FOOD.USD.NO,,,Food exports (mln US$) ,1000000,0
Food Supply,46,TP.IMVAL.FOOD.USD.NO,,,Food imports (mln US$) ,1000000,0
Net trade (min US\$),47,TP.NETVAL.CRLSPREP.USD.NO,,,Cereals,1000000,0
Net trade (min US\$),48,TP.NETVAL.FV.USD.NO,,,Fruit and vegetables,1000000,0
Net trade (min US\$),49,TP.NETVAL.MEATPREP.USD.NO,,,Meat,1000000,0
Net trade (min US\$),50,TP.NETVAL.MILKEQ.USD.NO,,,Dairy products,1000000,0
Net trade (min US\$),51,net_fish_trade,,,Fish,1000,0
Environment,52,RL.AREA.FOR.HA.SH,,,Forest area (%),,1
Environment,53,AQ.WAT.WWAGR.MC.SH,,,Renewable water res withdrawn (% of total),,1
Environment,54,ER.LND.PTLD.ZS,,,Terrestrial protect areas (% total land area) ,,1
Environment,55,RL.AREA.AGRORG.HA.SH,,,Organic area (% total agricultural area),,1
Environment,56,AQ.WAT.WWAGR.MC.SH,,,Share of renewable water resources (%),,1
Environment,57,BP.TP.GP.TJ.NO,,,Biofuel production (thousand kt of oil eq.),1000,0
Environment,58,FO.WP.PQ.TN.NO,,,Wood pellet prod. (min tonnes),1000,0
Environment,59,GHG.AFOLU.TOT.ECO2EQ.NO,,,"Net GHG emissions from AFOLU (CO2 eq, Mt)",1000,0
